
			ScienceValues
			{
				inSpaceLowDataValue = 10
				inSpaceHighDataValue = 9
				flyingLowDataValue = 12
				flyingHighDataValue = 11
				landedDataValue = 11
				recoveryValue = 8
				spaceAltitudeThreshold = 250000
				flyingAltitudeThreshold = 45000
			}

Atmosphere				
{				
enabled =	True			
oxygen =	False			
altitude =	85000			
adiabaticIndex =	1.38			
atmosphereMolarMass =	0.02657			
temperatureSeaLevel =	316			
staticPressureASL =	121.59			
temperatureCurve				
{				
key =	0	299	0.00000E+00	7.61905E-04
key =	10500	307	7.61905E-04	8.42105E-04
key =	20000	315	8.42105E-04	1.00000E-03
key =	25000	320	1.00000E-03	-1.20000E-02
key =	30000	260	-1.20000E-02	-8.00000E-03
key =	35000	220	-8.00000E-03	2.00000E-03
key =	40000	230	2.00000E-03	1.20000E-02
key =	45000	290	1.20000E-02	1.20000E-02
key =	50000	350	1.20000E-02	-1.09091E-02
key =	55500	290	-1.09091E-02	-1.11111E-02
key =	60000	240	-1.11111E-02	-7.27273E-03
key =	65500	200	-7.27273E-03	-1.11111E-02
key =	70000	150	-1.11111E-02	-5.00000E-03
key =	80000	100	-5.00000E-03	0.00000E+00
}				
temperatureSunMultCurve				
{				
key =	0	1	0.00000E+00	-7.05882E-05
key =	17000	-0.2	-7.05882E-05	1.21212E-05
key =	50000	0.2	1.21212E-05	0.00000E+00
key =	46000	0.2	0.00000E+00	0.00000E+00
key =	50000	0.2	0.00000E+00	0.00000E+00
key =	54000	0.2	0.00000E+00	0.00000E+00
key =	60000	0.2	0.00000E+00	0.00000E+00
}				
temperatureLatitudeBiasCurve				
{				
key =	0	7.42	0	0
key =	38	0	-0.3761	-0.3761
key =	90	-27.58	-0.6109	0
}				
temperatureLatitudeSunMultCurve				
{				
key =	0	40	0	0
key =	38	33.64	-0.3224	-0.3224
key =	90	10	-0.5236	0
}				
temperatureAxialSunBiasCurve				
{				
key =	0	0.07	-0.0017	-0.0017
key =	35.925	0	-0.0021	-0.0021
key =	125.925	-0.12	0	0
key =	215.925	0	0.0021	0.0021
key =	305.925	0.12	0	0
key =	360	0.07	-0.0017	-0.0017
}				
temperatureAxialSunMultCurve				
{				
key =	0	0	0	0
key =	38	0.5	0.02	0.02
key =	90	1	0	0
}				
temperatureEccentricityBiasCurve				
{				
key =	0	0.7	0	-1.4
key =	1	-0.7	-1.4	0
}				
pressureCurve				
{				
key =	0	1.21590E+02	0.00000E+00	-8.98609E-03
key =	8000	6.71514E+01	-5.00412E-03	-5.00412E-03
key =	15000	3.97944E+01	-2.98311E-03	-2.98311E-03
key =	22000	2.36158E+01	-1.73874E-03	-1.73874E-03
key =	30000	1.26898E+01	-1.13060E-03	-1.13060E-03
key =	37000	6.36875E+00	-6.53101E-04	-6.53101E-04
key =	44000	3.27911E+00	-2.69066E-04	-2.69066E-04
key =	51000	1.98339E+00	-1.32803E-04	-1.32803E-04
key =	59000	1.06943E+00	-9.60910E-05	-9.60910E-05
key =	66000	5.19712E-01	-6.09636E-05	-6.09636E-05
key =	73000	1.88939E-01	-3.18434E-05	-3.18434E-05
key =	80000	4.83171E-02	-1.09664E-05	-1.09664E-05
key =	85000	3.23171E-02	0.00000E+00	0.00000E+00
}				
}				
